plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AC #7,#7 Allison Cahill,#7,Allison Cahill,152,14,30,46.7,10.9,1,0,32,73.2,1,Renegades,2018,152,14,30,1,0,1,0.03333333333333333,47,0,5.066666666666666,10.9,152,0.03333333333333333,0.8333333333333333,0.5166666666666666,0.6666666666666667,2.375,73.2,#7,Allison Cahill,0,2,0,NA,0,2,0,2,0,0,0,0,0
AC #7,#7 Allison Cahill,#7,Allison Cahill,235,17,32,53.1,13.8,2,1,60,84.8,2,Renegades,2018,387,31,62,3,1,2,0.04838709677419355,50,0.016129032258064516,6.241935483870968,12.5,193.5,3,1,0.810483870967742,0.967741935483871,1.971774193548387,79.2,#7,Allison Cahill,8,5,1.6,14,0,3,8,7,0,0,1.1,4,1.6
AC #7,#7 Allison Cahill,#7,Allison Cahill,342,18,32,56.2,19,5,1,57,120.1,3,Renegades,2018,729,49,94,8,2,3,0.0851063829787234,52,0.02127659574468085,7.75531914893617,14.9,243,4,1.1063829787234045,1.1888297872340425,1.702127659574468,1.8430851063829787,97.3,#7,Allison Cahill,22,5,4.4,15,1,6,30,12,1,0.08333333333333333,2.5,10,4.4
AC #7,#7 Allison Cahill,#7,Allison Cahill,88,7,17,41.2,12.6,1,0,26,77.6,6,Renegades,2018,817,56,111,9,2,4,0.08108108108108109,50,0.018018018018018018,7.36036036036036,14.6,204.2,4.5,1.0225225225225223,1.09009009009009,1.621621621621622,1.9245495495495495,94.3,#7,Allison Cahill,46,5,9.2,44,2,7,76,17,3,0.17647058823529413,4.5,19,9.2
AC #7,#7 Allison Cahill,#7,Allison Cahill,295,30,51,58.8,9.8,1,0,46,81.7,7,Renegades,2018,1112,86,162,10,2,5,0.06172839506172839,53,0.012345679012345678,6.864197530864198,12.9,222.4,5,1.1543209876543212,0.9660493827160495,1.234567901234568,2.066358024691358,90.4,#7,Allison Cahill,29,3,9.7,14,0,9,105,20,3,0.15,5.2,21,9.7
AC #7,#7 Allison Cahill,#7,Allison Cahill,196,10,19,52.6,19.6,3,0,41,128.5,9,Renegades,2018,1308,96,181,13,2,6,0.0718232044198895,53,0.011049723756906077,7.226519337016574,13.6,218,6.5,1.1519337016574587,1.0566298342541436,1.4364640883977902,2.098756906077348,95.7,#7,Allison Cahill,5,1,5,5,0,10,110,21,3,0.14285714285714285,5.2,18.3,5
AC #7,#7 Allison Cahill,#7,Allison Cahill,288,14,26,53.8,20.6,4,2,55,100.6,10,Renegades,2018,1596,110,207,17,4,7,0.0821256038647343,53,0.01932367149758454,7.7101449275362315,14.5,228,4.25,1.1570048309178744,1.1775362318840579,1.6425120772946862,1.8919082125603865,97.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,201,14,35,40,14.4,2,0,50,78.4,2,Divas,2018,201,14,35,2,0,1,0.05714285714285714,40,0,5.742857142857143,14.4,201,0.05714285714285714,0.5,0.6857142857142857,1.142857142857143,2.375,78.4,#6,Amanda Congialdi,21,6,3.5,9,0,2,21,6,0,0,3.5,21,3.5
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,124,8,15,53.3,15.5,3,0,35,120.6,3,Divas,2018,325,22,50,5,0,2,0.1,44,0,6.5,14.8,162.5,0.1,0.7000000000000001,0.875,2,2.375,99.2,#6,Amanda Congialdi,4,3,1.3,3,1,3,25,9,1,0.1111111111111111,2.8,12.5,1.3
AC #6,#6 Amanda Congialdi,#6,Amanda Congialdi,135,16,35,45.7,8.4,2,3,20,39.6,4,Divas,2018,460,38,85,7,3,3,0.08235294117647059,45,0.03529411764705882,5.411764705882353,12.1,153.3,2.3333333333333335,0.7352941176470591,0.6029411764705883,1.6470588235294117,1.4926470588235294,74.6,#6,Amanda Congialdi,100,14,7.1,24,1,4,125,23,2,0.08695652173913043,5.4,41.7,7.1
