plyr.lbl,player,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,team,season,rush_yards_cum,carries_cum,rush_td_cum,game,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,rec_yards_cum,rec_cum,rec_td_cum,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec
RG #22,#22 Rachel Gore,#22,Rachel Gore,53,13,4.1,24,1,4,Elite,2018,104,27,3,3,0.1111111111111111,3.9,34.7,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG #22,#22 Rachel Gore,#22,Rachel Gore,38,4,9.5,28,0,5,Elite,2018,142,31,3,4,0.0967741935483871,4.6,35.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG #22,#22 Rachel Gore,#22,Rachel Gore,52,16,3.2,15,0,7,Elite,2018,194,47,3,5,0.06382978723404255,4.1,38.8,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG #22,#22 Rachel Gore,#22,Rachel Gore,0,3,0,6,0,8,Elite,2018,194,50,3,6,0.06,3.9,32.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG #22,#22 Rachel Gore,#22,Rachel Gore,42,9,4.7,13,0,9,Elite,2018,236,59,3,7,0.05084745762711865,4,33.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG #22,#22 Rachel Gore,#22,Rachel Gore,38,13,2.9,26,0,10,Elite,2018,274,72,3,8,0.041666666666666664,3.8,34.2,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG #22,#22 Rachel Gore,#22,Rachel Gore,0,12,0,4,0,10,Elite,2018,274,84,3,9,0.03571428571428571,3.3,30.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RW NA,NA Raquel Williams,NA,Raquel Williams,51,3,17,54,1,1,Wildcats,2018,51,3,1,1,0.3333333333333333,17,51,17,NA,Raquel Williams,22,4,12,5.5,0,7,22,4,0,0,5.5,22,5.5
RW NA,NA Raquel Williams,NA,Raquel Williams,33,6,5.5,14,0,2,Wildcats,2018,84,9,1,2,0.1111111111111111,9.3,42,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RW NA,NA Raquel Williams,NA,Raquel Williams,12,2,6,6,0,4,Wildcats,2018,96,11,1,3,0.09090909090909091,8.7,32,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
