plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
FG #39,#39 Felecia Gomez,#39,Felecia Gomez,46,4,6,66.7,11.5,0,0,35,89.6,2,Dynamite,2019,116,8,11,0,0,2,0,73,0,10.545454545454545,14.5,58,0,2.1363636363636367,1.8863636363636362,0,2.375,106.6,#39,Felecia Gomez,22,3,7.3,15,1,2,27,4,1,0.25,6.8,13.5,7.3
FG #39,#39 Felecia Gomez,#39,Felecia Gomez,2,2,7,28.6,1,2,0,2,79.2,3,Dynamite,2019,118,10,18,2,0,3,0.1111111111111111,56,0,6.555555555555555,11.8,39.3,0.1111111111111111,1.277777777777778,0.8888888888888888,2.2222222222222223,2.375,112.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HP #9,#9 Hollie Petrie,#9,Hollie Petrie,38,4,10,40,9.5,0,2,11,11.7,1,Fighting Shockwave,2019,38,4,10,0,2,1,0,40,0.2,3.8,9.5,38,0,0.5,0.19999999999999996,0,0,11.7,#9,Hollie Petrie,29,3,9.7,11,0,1,29,3,0,0,9.7,29,9.7
HP #9,#9 Hollie Petrie,#9,Hollie Petrie,28,2,3,66.7,14,1,1,24,96.5,2,Fighting Shockwave,2019,66,6,13,1,3,2,0.07692307692307693,46,0.23076923076923078,5.076923076923077,11,33,0.3333333333333333,0.8076923076923077,0.5192307692307692,1.5384615384615385,0,47.8,#9,Hollie Petrie,20,5,4,12,0,2,49,8,0,0,6.1,24.5,4
HP #9,#9 Hollie Petrie,#9,Hollie Petrie,96,6,13,46.2,16,1,2,37,57.4,3,Fighting Shockwave,2019,162,12,26,2,5,3,0.07692307692307693,46,0.19230769230769232,6.230769230769231,13.5,54,0.4,0.8076923076923077,0.8076923076923077,1.5384615384615385,0,52.6,#9,Hollie Petrie,19,3,6.3,20,0,3,68,11,0,0,6.2,22.7,6.3
JG #4,#4 Jaime Gaal,#4,Jaime Gaal,124,11,22,50,11.3,2,1,28,78.6,1,Slam,2019,124,11,22,2,1,1,0.09090909090909091,50,0.045454545454545456,5.636363636363637,11.3,124,2,1,0.6590909090909092,1.8181818181818183,1.2386363636363635,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JG #4,#4 Jaime Gaal,#4,Jaime Gaal,144,14,31,45.2,10.3,1,0,55,69.8,2,Slam,2019,268,25,53,3,1,2,0.05660377358490566,47,0.018867924528301886,5.056603773584905,10.7,134,3,0.858490566037736,0.5141509433962264,1.1320754716981134,1.9033018867924527,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JS #11,#11 Jennifer Slaughter,#11,Jennifer Slaughter,48,5,9,55.6,9.6,0,0,20,70.6,1,Wildcats,2019,48,5,9,0,0,1,0,56,0,5.333333333333333,9.6,48,0,1.277777777777778,0.5833333333333333,0,2.375,70.6,#11,Jennifer Slaughter,0,2,0,NA,0,1,0,2,0,0,0,0,0
JS #11,#11 Jennifer Slaughter,#11,Jennifer Slaughter,15,1,6,16.7,15,0,2,15,0,2,Wildcats,2019,63,6,15,0,2,2,0,40,0.13333333333333333,4.2,10.5,31.5,0,0.5,0.30000000000000004,0,0,13.3,#11,Jennifer Slaughter,0,4,0,NA,0,2,0,6,0,0,0,0,0
JS #11,#11 Jennifer Slaughter,#11,Jennifer Slaughter,49,5,13,38.5,9.8,0,0,15,49.8,3,Wildcats,2019,112,11,28,0,2,3,0,39,0.07142857142857142,4,10.2,37.3,0,0.46428571428571425,0.25,0,0.5892857142857144,21.7,#11,Jennifer Slaughter,0,3,0,1,0,3,0,9,0,0,0,0,0
