plyr.lbl,player,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,team,season,rec_yards_cum,rec_cum,rec_td_cum,game,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
TW #10,#10 Taylor Wood,#10,Taylor Wood,92,7,30,13.1,0,7,Waverunners,2018,404,29,1,5,0.034482758620689655,13.9,80.8,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TW #10,#10 Taylor Wood,#10,Taylor Wood,92,7,30,13.1,0,8,Waverunners,2018,496,36,1,6,0.027777777777777776,13.8,82.7,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TM #92,#92 Treva Mason,#92,Treva Mason,40,1,NA,40,1,1,Anarchy,2018,40,1,1,1,1,40,40,40,#92,Treva Mason,35,2,17.5,20,1,5,35,2,1,0.5,17.5,35,17.5
TM #92,#92 Treva Mason,#92,Treva Mason,68,9,NA,7.6,0,7,Anarchy,2018,108,10,1,2,0.1,10.8,54,7.6,#92,Treva Mason,7,1,7,NA,0,10,42,3,1,0.3333333333333333,14,21,7
TM #92,#92 Treva Mason,#92,Treva Mason,20,3,13,6.7,0,10,Anarchy,2018,128,13,1,3,0.07692307692307693,9.8,42.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL #1,#1 Tyesha Lowery-Jones,#1,Tyesha Lowery-Jones,34,2,NA,17,1,2,MH Blaze,2018,34,2,1,1,0.5,17,34,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL #1,#1 Tyesha Lowery-Jones,#1,Tyesha Lowery-Jones,15,3,NA,5,0,3,MH Blaze,2018,49,5,1,2,0.2,9.8,24.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL #1,#1 Tyesha Lowery-Jones,#1,Tyesha Lowery-Jones,54,2,NA,27,1,4,MH Blaze,2018,103,7,2,3,0.2857142857142857,14.7,34.3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL #1,#1 Tyesha Lowery-Jones,#1,Tyesha Lowery-Jones,22,2,NA,11,0,5,MH Blaze,2018,125,9,2,4,0.2222222222222222,13.9,31.2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL #1,#1 Tyesha Lowery-Jones,#1,Tyesha Lowery-Jones,97,7,NA,13.9,3,7,MH Blaze,2018,222,16,5,5,0.3125,13.9,44.4,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
