plyr.lbl,player,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,team,season,rec_yards_cum,rec_cum,rec_td_cum,game,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,25,2,15,12.5,0,5,Waverunners,2018,90,5,0,3,0,18,30,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,75,5,NA,15,0,6,Waverunners,2018,165,10,0,4,0,16.5,41.2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,35,5,NA,7,0,7,Waverunners,2018,200,15,0,5,0,13.3,40,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,35,5,10,7,0,8,Waverunners,2018,235,20,0,6,0,11.8,39.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,10,2,NA,5,0,8,Waverunners,2018,245,22,0,7,0,11.1,35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,53,6,19,8.8,2,3,Passion,2018,53,6,2,1,0.3333333333333333,8.8,53,8.8,#82,Angela Baker,0,1,0,NA,0,3,0,1,0,0,0,0,0
AB #82,#82 Angela Baker,#82,Angela Baker,191,16,23,11.9,2,4,Passion,2018,244,22,4,2,0.18181818181818182,11.1,122,11.9,#82,Angela Baker,11,1,11,11,0,5,11,2,0,0,5.5,5.5,11
AB #82,#82 Angela Baker,#82,Angela Baker,80,6,24,13.3,2,5,Passion,2018,324,28,6,3,0.21428571428571427,11.6,108,13.3,#82,Angela Baker,0,1,0,NA,0,7,11,3,0,0,3.7,3.7,0
AB #82,#82 Angela Baker,#82,Angela Baker,168,7,63,24,2,6,Passion,2018,492,35,8,4,0.22857142857142856,14.1,123,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,193,11,85,17.5,2,7,Passion,2018,685,46,10,5,0.21739130434782608,14.9,137,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,12,3,NA,4,0,8,Passion,2018,697,49,10,6,0.20408163265306123,14.2,116.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,157,8,38,19.6,4,10,Passion,2018,854,57,14,7,0.24561403508771928,15,122,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A #47,#47 Ankara  West,#47,Ankara  West,15,2,10,7.5,0,4,Smash,2018,15,2,0,1,0,7.5,15,7.5,#47,Ankara  West,40,5,8,15,0,1,40,5,0,0,8,40,8
A #47,#47 Ankara  West,#47,Ankara  West,25,1,25,25,0,7,Smash,2018,40,3,0,2,0,13.3,20,25,#47,Ankara  West,33,11,3,10,0,2,73,16,0,0,4.6,36.5,3
A #47,#47 Ankara  West,#47,Ankara  West,38,38,38,1,2,9,Smash,2018,78,41,2,3,0.04878048780487805,1.9,26,1,#47,Ankara  West,116,13,8.9,30,1,4,189,29,1,0.034482758620689655,6.5,63,8.9
AB #19,#19 Asia Bell,#19,Asia Bell,5,1,5,5,1,3,Dixie Blues,2018,5,1,1,1,1,5,5,5,#19,Asia Bell,23,8,2.9,15,0,1,23,8,0,0,2.9,23,2.9
AB #19,#19 Asia Bell,#19,Asia Bell,19,3,9,6.3,0,5,Dixie Blues,2018,24,4,1,2,0.25,6,12,6.3,#19,Asia Bell,35,3,11.7,15,1,3,58,11,1,0.09090909090909091,5.3,29,11.7
AB #19,#19 Asia Bell,#19,Asia Bell,61,5,14,12.2,2,6,Dixie Blues,2018,85,9,3,3,0.3333333333333333,9.4,28.3,12.2,#19,Asia Bell,18,5,3.6,7,0,4,76,16,1,0.0625,4.8,25.3,3.6
AB #19,#19 Asia Bell,#19,Asia Bell,33,2,24,16.5,2,7,Dixie Blues,2018,118,11,5,4,0.45454545454545453,10.7,29.5,16.5,#19,Asia Bell,21,10,2.1,13,0,5,97,26,1,0.038461538461538464,3.7,24.2,2.1
AB #19,#19 Asia Bell,#19,Asia Bell,68,2,53,34,2,10,Dixie Blues,2018,186,13,7,5,0.5384615384615384,14.3,37.2,34,#19,Asia Bell,44,9,4.9,15,1,6,141,35,2,0.05714285714285714,4,28.2,4.9
BC #21,#21 Brennan Crabtree,#21,Brennan Crabtree,36,3,22,12,1,1,Mizfits,2018,36,3,1,1,0.3333333333333333,12,36,12,#21,Brennan Crabtree,2,1,2,2,0,1,2,1,0,0,2,2,2
BC #21,#21 Brennan Crabtree,#21,Brennan Crabtree,32,2,22,16,0,3,Mizfits,2018,68,5,1,2,0.2,13.6,34,16,#21,Brennan Crabtree,17,1,17,17,0,3,19,2,0,0,9.5,9.5,17
BC #21,#21 Brennan Crabtree,#21,Brennan Crabtree,54,3,30,18,0,5,Mizfits,2018,122,8,1,3,0.125,15.2,40.7,18,#21,Brennan Crabtree,35,1,35,35,1,5,54,3,1,0.3333333333333333,18,18,35
BC #21,#21 Brennan Crabtree,#21,Brennan Crabtree,71,4,35,17.8,1,6,Mizfits,2018,193,12,2,4,0.16666666666666666,16.1,48.2,17.8,#21,Brennan Crabtree,17,1,17,17,0,6,71,4,1,0.25,17.8,17.8,17
BC #21,#21 Brennan Crabtree,#21,Brennan Crabtree,30,1,30,30,0,7,Mizfits,2018,223,13,2,5,0.15384615384615385,17.2,44.6,30,#21,Brennan Crabtree,2,1,2,2,0,9,73,5,1,0.2,14.6,14.6,2
BC #21,#21 Brennan Crabtree,#21,Brennan Crabtree,45,4,14,11.2,0,9,Mizfits,2018,268,17,2,6,0.11764705882352941,15.8,44.7,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB #25,#25 Brianna Brewer,#25,Brianna Brewer,17,2,12,8.5,0,4,Sizzle,2018,17,2,0,1,0,8.5,17,8.5,#25,Brianna Brewer,4,3,1.3,12,0,4,4,3,0,0,1.3,4,1.3
BB #25,#25 Brianna Brewer,#25,Brianna Brewer,62,3,25,20.7,1,5,Sizzle,2018,79,5,1,2,0.2,15.8,39.5,20.7,#25,Brianna Brewer,116,12,9.7,36,1,5,120,15,1,0.06666666666666667,8,60,9.7
BB #25,#25 Brianna Brewer,#25,Brianna Brewer,115,4,65,28.8,0,6,Sizzle,2018,194,9,1,3,0.1111111111111111,21.6,64.7,28.8,#25,Brianna Brewer,10,3,3.3,7,0,8,130,18,1,0.05555555555555555,7.2,43.3,3.3
BB #25,#25 Brianna Brewer,#25,Brianna Brewer,29,2,18,14.5,0,8,Sizzle,2018,223,11,1,4,0.09090909090909091,20.3,55.8,14.5,#25,Brianna Brewer,33,4,8.2,37,0,10,163,22,1,0.045454545454545456,7.4,40.8,8.2
BB #25,#25 Brianna Brewer,#25,Brianna Brewer,0,1,NA,0,0,10,Sizzle,2018,223,12,1,5,0.08333333333333333,18.6,44.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF #25,#25 Brilynn Fields,#25,Brilynn Fields,114,4,NA,28.5,1,1,Sharks,2018,114,4,1,1,0.25,28.5,114,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF #25,#25 Brilynn Fields,#25,Brilynn Fields,95,3,NA,31.7,1,4,Sharks,2018,209,7,2,2,0.2857142857142857,29.9,104.5,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF #25,#25 Brilynn Fields,#25,Brilynn Fields,3,1,NA,3,1,5,Sharks,2018,212,8,3,3,0.375,26.5,70.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF #25,#25 Brilynn Fields,#25,Brilynn Fields,12,1,NA,12,0,6,Sharks,2018,224,9,3,4,0.3333333333333333,24.9,56,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF #25,#25 Brilynn Fields,#25,Brilynn Fields,44,2,NA,22,0,7,Sharks,2018,268,11,3,5,0.2727272727272727,24.4,53.6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF #25,#25 Brilynn Fields,#25,Brilynn Fields,17,1,NA,17,1,9,Sharks,2018,285,12,4,6,0.3333333333333333,23.8,47.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BK #20,#20 Brittany Koziara,#20,Brittany Koziara,20,1,NA,20,1,1,Anarchy,2018,20,1,1,1,1,20,20,20,#20,Brittany Koziara,62,3,20.7,35,1,1,62,3,1,0.3333333333333333,20.7,62,20.7
BK #20,#20 Brittany Koziara,#20,Brittany Koziara,57,2,39,28.5,1,3,Anarchy,2018,77,3,2,2,0.6666666666666666,25.7,38.5,28.5,#20,Brittany Koziara,82,2,41,65,1,3,144,5,2,0.4,28.8,72,41
BK #20,#20 Brittany Koziara,#20,Brittany Koziara,155,9,60,17.2,3,4,Anarchy,2018,232,12,5,3,0.4166666666666667,19.3,77.3,17.2,#20,Brittany Koziara,95,9,10.6,NA,1,4,239,14,3,0.21428571428571427,17.1,79.7,10.6
CG #45,#45 Celina Graves,#45,Celina Graves,17,1,17,17,0,1,Rebellion,2018,17,1,0,1,0,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG #45,#45 Celina Graves,#45,Celina Graves,13,2,8,6.5,0,2,Rebellion,2018,30,3,0,2,0,10,15,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG #45,#45 Celina Graves,#45,Celina Graves,3,1,3,3,0,4,Rebellion,2018,33,4,0,3,0,8.2,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG #45,#45 Celina Graves,#45,Celina Graves,18,3,NA,6,1,6,Rebellion,2018,51,7,1,4,0.14285714285714285,7.3,12.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG #45,#45 Celina Graves,#45,Celina Graves,70,3,42,23.3,1,9,Rebellion,2018,121,10,2,5,0.2,12.1,24.2,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG #45,#45 Celina Graves,#45,Celina Graves,116,7,30,16.6,3,10,Rebellion,2018,237,17,5,6,0.29411764705882354,13.9,39.5,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB #21,#21 Chante Bonds,#21,Chante Bonds,42,4,23,10.5,0,1,Renegades,2018,42,4,0,1,0,10.5,42,10.5,#21,Chante Bonds,161,20,8,25,1,1,161,20,1,0.05,8.1,161,8.1
CB #21,#21 Chante Bonds,#21,Chante Bonds,33,3,19,11,0,2,Renegades,2018,75,7,0,2,0,10.7,37.5,11,#21,Chante Bonds,4,1,4,4,0,2,165,21,1,0.047619047619047616,7.9,82.5,4
CB #21,#21 Chante Bonds,#21,Chante Bonds,71,3,57,23.7,0,3,Renegades,2018,146,10,0,3,0,14.6,48.7,23.7,#21,Chante Bonds,0,1,0,NA,0,3,165,22,1,0.045454545454545456,7.5,55,0
CB #21,#21 Chante Bonds,#21,Chante Bonds,38,3,18,12.7,0,7,Renegades,2018,184,13,0,4,0,14.2,46,12.7,#21,Chante Bonds,6,3,2,4,0,6,171,25,1,0.04,6.8,42.8,2
CB #21,#21 Chante Bonds,#21,Chante Bonds,48,2,41,24,1,9,Renegades,2018,232,15,1,5,0.06666666666666667,15.5,46.4,24,#21,Chante Bonds,6,1,6,6,0,7,177,26,1,0.038461538461538464,6.8,35.4,6
CB #21,#21 Chante Bonds,#21,Chante Bonds,55,1,55,55,1,10,Renegades,2018,287,16,2,6,0.125,17.9,47.8,55,#21,Chante Bonds,5,1,5,5,0,10,182,27,1,0.037037037037037035,6.7,30.3,5
C #1,#1 Charetta  Pride,#1,Charetta  Pride,35,2,29,17.5,0,1,Sizzle,2018,35,2,0,1,0,17.5,35,17.5,#1,Charetta  Pride,8,1,8,8,0,1,8,1,0,0,8,8,8
C #1,#1 Charetta  Pride,#1,Charetta  Pride,17,2,12,8.5,0,2,Sizzle,2018,52,4,0,2,0,13,26,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C #1,#1 Charetta  Pride,#1,Charetta  Pride,60,4,22,15,1,4,Sizzle,2018,112,8,1,3,0.125,14,37.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C #1,#1 Charetta  Pride,#1,Charetta  Pride,24,1,24,24,0,5,Sizzle,2018,136,9,1,4,0.1111111111111111,15.1,34,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C #1,#1 Charetta  Pride,#1,Charetta  Pride,65,3,45,21.7,2,6,Sizzle,2018,201,12,3,5,0.25,16.8,40.2,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C #1,#1 Charetta  Pride,#1,Charetta  Pride,64,4,30,16,0,8,Sizzle,2018,265,16,3,6,0.1875,16.6,44.2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C #1,#1 Charetta  Pride,#1,Charetta  Pride,37,3,16,12.3,0,10,Sizzle,2018,302,19,3,7,0.15789473684210525,15.9,43.1,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB #96,#96 Chrystal Bell,#96,Chrystal Bell,145,2,85,72.5,2,3,Anarchy,2018,145,2,2,1,1,72.5,145,72.5,#96,Chrystal Bell,1,1,1,NA,1,1,1,1,1,1,1,1,1
CB #96,#96 Chrystal Bell,#96,Chrystal Bell,151,11,26,13.7,0,4,Anarchy,2018,296,13,2,2,0.15384615384615385,22.8,148,13.7,#96,Chrystal Bell,7,1,7,7,1,3,8,2,2,1,4,4,7
CB #96,#96 Chrystal Bell,#96,Chrystal Bell,23,1,NA,23,0,5,Anarchy,2018,319,14,2,3,0.14285714285714285,22.8,106.3,23,#96,Chrystal Bell,53,3,17.7,38,0,4,61,5,2,0.4,12.2,20.3,17.7
CB #96,#96 Chrystal Bell,#96,Chrystal Bell,130,8,45,16.2,3,7,Anarchy,2018,449,22,5,4,0.22727272727272727,20.4,112.2,16.2,#96,Chrystal Bell,12,1,12,NA,0,7,73,6,2,0.3333333333333333,12.2,18.2,12
CR #25,#25 Courtney Rhodes,#25,Courtney Rhodes,11,1,11,11,0,1,Outlaws,2018,11,1,0,1,0,11,11,11,#25,Courtney Rhodes,24,3,8,15,0,3,24,3,0,0,8,24,8
CR #25,#25 Courtney Rhodes,#25,Courtney Rhodes,76,3,35,25.3,1,2,Outlaws,2018,87,4,1,2,0.25,21.8,43.5,25.3,#25,Courtney Rhodes,85,4,21.2,51,1,4,109,7,1,0.14285714285714285,15.6,54.5,21.2
CR #25,#25 Courtney Rhodes,#25,Courtney Rhodes,19,2,12,9.5,0,3,Outlaws,2018,106,6,1,3,0.16666666666666666,17.7,35.3,9.5,#25,Courtney Rhodes,26,4,6.5,13,0,5,135,11,1,0.09090909090909091,12.3,45,6.5
CR #25,#25 Courtney Rhodes,#25,Courtney Rhodes,53,3,48,17.7,1,4,Outlaws,2018,159,9,2,4,0.2222222222222222,17.7,39.8,17.7,#25,Courtney Rhodes,16,3,5.3,9,0,7,151,14,1,0.07142857142857142,10.8,37.8,5.3
CR #25,#25 Courtney Rhodes,#25,Courtney Rhodes,45,3,12,15,0,5,Outlaws,2018,204,12,2,5,0.16666666666666666,17,40.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR #25,#25 Courtney Rhodes,#25,Courtney Rhodes,98,4,45,24.5,0,7,Outlaws,2018,302,16,2,6,0.125,18.9,50.3,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D #4,#4 Dajah  Scott,#4,Dajah  Scott,12,3,10,4,0,2,Divas,2018,12,3,0,1,0,4,12,4,#4,Dajah  Scott,20,6,3.3,8,0,2,20,6,0,0,3.3,20,3.3
D #4,#4 Dajah  Scott,#4,Dajah  Scott,15,1,15,15,1,3,Divas,2018,27,4,1,2,0.25,6.8,13.5,15,#4,Dajah  Scott,70,6,11.7,35,0,3,90,12,0,0,7.5,45,11.7
D #4,#4 Dajah  Scott,#4,Dajah  Scott,4,4,2,1,0,4,Divas,2018,31,8,1,3,0.125,3.9,10.3,1,#4,Dajah  Scott,34,7,4.9,23,1,4,124,19,1,0.05263157894736842,6.5,41.3,4.9
D #4,#4 Dajah  Scott,#4,Dajah  Scott,1,1,1,1,0,7,Divas,2018,32,9,1,4,0.1111111111111111,3.6,8,1,#4,Dajah  Scott,112,6,18.7,86,2,6,236,25,3,0.12,9.4,59,18.7
D #4,#4 Dajah  Scott,#4,Dajah  Scott,54,2,52,27,1,8,Divas,2018,86,11,2,5,0.18181818181818182,7.8,17.2,27,#4,Dajah  Scott,84,8,10.5,77,2,7,320,33,5,0.15151515151515152,9.7,64,10.5
D #4,#4 Dajah  Scott,#4,Dajah  Scott,10,3,4,3.3,0,10,Divas,2018,96,14,2,6,0.14285714285714285,6.9,16,3.3,#4,Dajah  Scott,55,12,4.6,17,2,8,375,45,7,0.15555555555555556,8.3,62.5,4.6
DM #56,#56 Dana Mitchell,#56,Dana Mitchell,32,2,26,16,1,1,Anarchy,2018,32,2,1,1,0.5,16,32,16,#56,Dana Mitchell,61,5,12.2,NA,1,4,61,5,1,0.2,12.2,61,12.2
DM #56,#56 Dana Mitchell,#56,Dana Mitchell,0,1,NA,0,0,8,Anarchy,2018,32,3,1,2,0.3333333333333333,10.7,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM #56,#56 Dana Mitchell,#56,Dana Mitchell,52,2,37,26,0,9,Anarchy,2018,84,5,1,3,0.2,16.8,28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
