plyr.lbl,player,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,team,season,rush_yards_cum,carries_cum,rush_td_cum,game,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,rec_yards_cum,rec_cum,rec_td_cum,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec
LB NA,NA Lindsey Bruette,NA,Lindsey Bruette,51,15,3.4,20,0,1,Knockout,2019,51,15,0,1,0,3.4,51,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS #3,#3 Liz Sowers,#3,Liz Sowers,92,11,8.4,44,1,1,Titans,2019,92,11,1,1,0.09090909090909091,8.4,92,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS #3,#3 Liz Sowers,#3,Liz Sowers,125,12,10.4,65,1,2,Titans,2019,217,23,2,2,0.08695652173913043,9.4,108.5,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ML #47,#47 Marabeth Lewis,#47,Marabeth Lewis,56,11,5.1,12,0,3,Reign,2019,56,11,0,1,0,5.1,56,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG #28,#28 Maribel Gomez,#28,Maribel Gomez,83,17,4.9,NA,0,1,OR Hawks,2019,83,17,0,1,0,4.9,83,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG #28,#28 Maribel Gomez,#28,Maribel Gomez,73,18,4.1,NA,1,2,OR Hawks,2019,156,35,1,2,0.02857142857142857,4.5,78,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG #24,#24 Marissa Glenn,#24,Marissa Glenn,24,5,4.8,NA,0,1,MH Blaze,2019,24,5,0,1,0,4.8,24,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG #24,#24 Marissa Glenn,#24,Marissa Glenn,30,5,6,NA,2,2,MH Blaze,2019,54,10,2,2,0.2,5.4,27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ME #3,#3 Mercedezes Ephraim,#3,Mercedezes Ephraim,49,16,3.1,12,0,1,Fusion,2019,49,16,0,1,0,3.1,49,3.1,#3,Mercedezes Ephraim,34,2,34,17,0,1,34,2,0,0,17,34,17
ME #3,#3 Mercedezes Ephraim,#3,Mercedezes Ephraim,64,10,6.4,23,1,2,Fusion,2019,113,26,1,2,0.038461538461538464,4.3,56.5,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MC #13,#13 Mona Coley,#13,Mona Coley,36,17,2.1,9,1,1,Black Widows,2019,36,17,1,1,0.058823529411764705,2.1,36,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MC #13,#13 Mona Coley,#13,Mona Coley,55,28,2,16,0,3,Black Widows,2019,91,45,1,2,0.022222222222222223,2,45.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND #34,#34 Natalie Davis,#34,Natalie Davis,64,9,7.1,NA,0,2,Wolves,2019,64,9,0,1,0,7.1,64,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND #34,#34 Natalie Davis,#34,Natalie Davis,107,14,7.6,NA,1,3,Wolves,2019,171,23,1,2,0.043478260869565216,7.4,85.5,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NL #4,#4 Nicole Lockett,#4,Nicole Lockett,97,7,13.9,25,0,1,Dynamite,2019,97,7,0,1,0,13.9,97,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NL #4,#4 Nicole Lockett,#4,Nicole Lockett,125,20,6.2,20,0,2,Dynamite,2019,222,27,0,2,0,8.2,111,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NL #4,#4 Nicole Lockett,#4,Nicole Lockett,150,12,12.5,40,2,3,Dynamite,2019,372,39,2,3,0.05128205128205128,9.5,124,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP #21,#21 Nicole Pelham,#21,Nicole Pelham,51,15,3.4,11,0,1,Spartans,2019,51,15,0,1,0,3.4,51,3.4,#21,Nicole Pelham,12,1,12,12,0,1,12,1,0,0,12,12,12
NP #21,#21 Nicole Pelham,#21,Nicole Pelham,69,19,3.6,25,0,2,Spartans,2019,120,34,0,2,0,3.5,60,3.6,#21,Nicole Pelham,13,2,9,6.5,0,2,25,3,0,0,8.3,12.5,6.5
OG #43,#43 Octavia Griswold,#43,Octavia Griswold,64,11,5.8,12,2,3,Reign,2019,64,11,2,1,0.18181818181818182,5.8,64,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OQ #27,#27 Olivia Quarles,#27,Olivia Quarles,50,12,4.2,13,0,1,Spartans,2019,50,12,0,1,0,4.2,50,4.2,#27,Olivia Quarles,4,2,4,2,0,1,4,2,0,0,2,4,2
